year;MLABIL01_;MLABIL02_;MLABIL04_;MLABIL06_;MLABIL07_;MLABIL10_;MLABIL11_;MLABIL13_;MLABIL14_;MLABIL16_;aver
1976;783.6533813;481.9426575;681.1972046;457.295929;556.3464355;452.1351013;557.7142944;579.088623;624.2095337;558.8717651;573.2454926
1977;856.1307373;677.5663452;799.3320313;591.2939453;575.8445435;459.1686401;589.2774658;737.0061646;820.291748;677.3231201;678.3234741
1978;887.465271;538.0126953;826.9735107;490.8284607;528.8989868;436.518219;538.6609497;605.2890625;691.3964844;547.4644775;609.1508118
1979;897.8918457;632.2840576;861.7446289;650.3666992;559.6816406;413.5837708;570.9680176;648.6913452;808.5504761;526.8209839;657.0583466
1980;885.1835938;474.3575439;675.0628052;547.6345215;570.9759521;387.5759888;922.456665;608.3944092;801.1448364;581.3955078;645.4181824
1981;673.9733276;493.4567566;445.8145142;623.2129517;430.5076904;324.6905518;563.3912354;493.635376;794.8783569;458.2349243;530.1795685
1982;747.6260986;531.6057739;578.0460205;495.8273621;530.4612427;365.3067017;657.9254761;536.2643433;736.8504639;526.803772;570.6717255
1983;684.3792114;577.484375;670.8606567;295.6859131;456.2968445;398.6491089;637.1992188;515.9925537;602.4024658;617.930542;545.688089
1984;802.2206421;693.7680664;755.4850464;607.8903198;601.9974365;435.0407715;643.9467163;626.5726318;533.6899414;610.5092163;631.1120789
1985;817.5707397;392.6876831;640.9491577;316.7388611;493.9311523;292.1670837;344.3309021;619.0168457;375.5903931;340.4788513;463.346167
1986;710.8363037;446.2696533;696.0246582;367.2192383;496.4657898;339.4852905;419.874054;606.6604614;393.2619934;435.3816833;491.1479126
1987;822.8228149;494.7130127;442.4761047;370.9464722;540.7733765;297.7955933;395.0900269;452.4071045;474.0908508;457.6542053;474.8769562
1988;764.7627563;501.5074768;831.269043;552.0857544;507.2737122;308.7472534;462.472168;655.9481201;481.2518921;526.9234009;559.2241577
1989;759.0097656;550.2625122;703.6254272;473.9150391;509.4882507;296.6296997;466.6029358;621.5578003;525.5062256;493.5835876;540.0181244
1990;858.8549805;643.6643066;786.6101685;540.460083;722.1824951;306.4866638;575.6694336;616.2915649;665.7738647;562.9487305;627.8942291
