year,MRWBIL01_,MRWBIL02_,MRWBIL04_,MRWBIL06_,MRWBIL07_,MRWBIL10_,MRWBIL11_,MRWBIL13_,MRWBIL14_,MRWBIL16_
1948,1353.34326171875,527.3233032226562,901.0709228515625,693.3601684570312,687.0455932617188,681.0441284179688,699.4341430664062,792.92919921875,604.2941284179688,711.5146484375
1949,1353.692138671875,288.3194274902344,438.6528015136719,384.9386901855469,450.0573425292969,463.06109619140625,433.3719177246094,499.672119140625,378.5955505371094,481.1766357421875
1950,728.343505859375,116.5146713256836,96.12296295166016,125.53050994873047,208.1198272705078,249.02362060546875,193.3736572265625,376.2176208496094,203.88613891601562,146.7228240966797
1951,1046.1470947265625,318.9305419921875,423.5127868652344,359.9583435058594,462.10870361328125,291.067626953125,428.5132751464844,493.2350158691406,431.652099609375,408.0119934082031
1952,1297.431640625,296.5268859863281,706.1150512695312,412.7745361328125,530.5008544921875,458.68487548828125,519.9727172851562,563.0787353515625,631.6730346679688,480.48687744140625
1953,839.3560180664062,347.6405944824219,841.3331298828125,378.3779602050781,424.130615234375,384.1866760253906,513.5387573242188,469.5541687011719,393.9277648925781,467.5496826171875
1954,446.4493103027344,148.55584716796875,232.82968139648438,174.73065185546875,215.30596923828125,170.45462036132812,246.20794677734375,140.90634155273438,231.5415802001953,218.46371459960938
1955,847.7587280273438,242.8534393310547,370.6422119140625,356.79046630859375,244.01632690429688,306.2486267089844,387.4710388183594,244.2564239501953,233.04708862304688,372.31890869140625
1956,1351.976806640625,464.5967102050781,666.1890258789062,537.6865234375,458.7097473144531,446.05108642578125,669.748046875,539.3814086914062,437.97271728515625,563.7723999023438
1957,957.3086547851562,263.863525390625,449.4747619628906,371.31884765625,413.73211669921875,399.0378112792969,636.1229248046875,246.44862365722656,371.79547119140625,387.7338562011719
1958,1614.1739501953125,437.8323059082031,847.4091186523438,762.2714233398438,616.451171875,528.5545043945312,747.9009399414062,581.2146606445312,593.362060546875,748.44384765625
1959,764.6800537109375,239.50205993652344,456.8045349121094,456.5721740722656,467.2706298828125,369.0986022949219,545.4031982421875,352.54156494140625,239.4329833984375,429.27093505859375
1960,1056.5770263671875,358.35015869140625,585.79052734375,682.43017578125,566.61279296875,619.8286743164062,783.4564819335938,707.640380859375,591.5361328125,654.8074951171875
1961,471.65460205078125,136.44638061523438,126.00605010986328,209.30714416503906,216.61370849609375,319.8808288574219,443.0469665527344,159.01658630371094,206.38514709472656,175.7562713623047
1962,551.5615234375,297.5536193847656,105.89968872070312,377.5094909667969,407.9631042480469,371.14642333984375,567.9159545898438,224.3710479736328,233.75241088867188,268.9762878417969
1963,689.7188110351562,233.48275756835938,219.41531372070312,508.1861572265625,436.5469055175781,340.4752502441406,572.278076171875,312.2821960449219,330.7265930175781,310.9692077636719
1964,1014.2034912109375,330.6990966796875,728.9491577148438,717.0858764648438,491.7265625,618.8509521484375,1004.4852294921875,553.7264404296875,475.1806335449219,618.70166015625
1965,805.7767333984375,211.59500122070312,509.3011169433594,373.605224609375,388.87908935546875,336.92864990234375,556.0776977539062,371.1037902832031,298.4181213378906,377.91656494140625
1966,717.4432983398438,238.55169677734375,268.2242126464844,365.5946044921875,377.2030944824219,400.85357666015625,515.9215087890625,300.6470031738281,222.58642578125,357.1343994140625
1967,698.68701171875,235.3498992919922,314.0362243652344,375.75274658203125,424.69500732421875,332.5617370605469,400.6225891113281,303.2558288574219,312.0971374511719,296.7305908203125
