year,DtanBIL01_,DtanBIL02_,DtanBIL04_,DtanBIL06_,DtanBIL07_,DtanBIL10_,DtanBIL11_,DtanBIL13_,DtanBIL14_,DtanBIL16_
1972,23.883207321166992,19.409847259521484,23.05097198486328,21.989585876464844,20.304197311401367,22.540746688842773,22.71419906616211,23.183982849121094,20.505781173706055,22.425357818603516
1973,23.917085647583008,19.951622009277344,20.89516258239746,18.793012619018555,19.673736572265625,22.18216896057129,22.886032104492188,21.109302520751953,21.691987991333008,19.963048934936523
1974,24.108627319335938,23.80787467956543,20.8916072845459,19.741308212280273,17.973615646362305,22.102996826171875,21.756742477416992,20.92816925048828,23.128280639648438,21.29146957397461
1975,26.195167541503906,24.80555534362793,22.981163024902344,21.546117782592773,21.251235961914062,22.98940086364746,22.931659698486328,22.451290130615234,25.150737762451172,22.95922088623047
1976,26.57299041748047,24.8703670501709,22.699695587158203,21.47325897216797,21.474748611450195,21.21307373046875,24.09737777709961,21.816560745239258,24.547685623168945,21.522258758544922
1977,27.883556365966797,27.76443862915039,26.334623336791992,23.992094039916992,21.60283660888672,21.077138900756836,25.736427307128906,24.519493103027344,27.059022903442383,23.118328094482422
1978,28.869312286376953,24.943161010742188,26.070432662963867,22.510295867919922,21.749794006347656,20.664155960083008,23.870309829711914,21.351469039916992,24.62070083618164,20.447107315063477
1979,28.855390548706055,26.199735641479492,26.302886962890625,23.989580154418945,19.977767944335938,20.672435760498047,24.122243881225586,21.82900619506836,27.39113998413086,20.924030303955078
1980,28.129615783691406,22.070253372192383,23.068025588989258,22.555362701416016,20.715694427490234,20.462820053100586,27.469762802124023,21.30432891845703,26.710487365722656,22.00835609436035
1981,26.522802352905273,24.506643295288086,20.240968704223633,23.747333526611328,18.97492218017578,19.141796112060547,22.142663955688477,19.959941864013672,27.88382339477539,20.450345993041992
1982,27.56515884399414,25.276111602783203,23.875064849853516,25.765039443969727,21.598093032836914,19.560916900634766,25.682830810546875,23.46371841430664,27.339879989624023,22.714420318603516
1983,25.472932815551758,24.45120620727539,21.26232147216797,19.368253707885742,19.08702850341797,19.62796401977539,23.314537048339844,20.07912826538086,23.4445858001709,21.567607879638672
1984,26.74717140197754,26.214597702026367,23.204988479614258,24.012136459350586,20.949357986450195,21.406723022460938,24.171127319335938,22.47966957092285,25.623981475830078,21.79171371459961
1985,27.34576416015625,19.32883644104004,21.107627868652344,17.289838790893555,19.243104934692383,18.366310119628906,19.125093460083008,21.7921142578125,18.87639045715332,17.01813507080078
