year;MLAAPA06_;MLAAPA07_;MLAAPA08_;MLAAPA09_;MLAAPA10_;MLAAPA11_;MLAAPA13_;MLAAPA15_;MLAAPA17_;MLAAPA19_;aver
1861;446.1940002;341.7168884;530.24823;579.0823975;357.3992004;464.4660034;418.0581665;281.3897705;466.3443298;532.3391113;441.7238098
1862;533.7833862;405.209259;572.2087402;540.071106;443.7642212;465.5848694;353.3486633;317.2520752;458.1104126;621.196106;471.0528839
1863;489.8830566;378.6015015;542.0668945;530.0250244;344.3555298;498.9430237;403.3968506;258.0577698;425.5910339;527.2352295;439.8155914
1864;502.7024841;372.733551;544.6833496;545.3377075;355.8358765;487.1714172;445.5624084;343.1539612;482.2120056;532.9527588;461.234552
1865;546.137207;385.2611084;583.7206421;527.0128784;352.5422058;543.4545288;509.6633606;350.5619812;450.2833252;587.1801758;483.5817413
1866;528.487793;295.1794434;539.4021606;583.2076416;326.5159302;505.5342102;537.0158691;271.0245667;466.3390503;559.3170776;461.2023743
1867;535.2977905;361.9448853;575.9611816;569.2648315;358.3158264;532.3900146;488.3228455;345.0753784;482.0142212;623.7900391;487.2377014
1868;469.869751;287.8103333;502.4933472;539.4920044;318.7027283;484.95578;525.7453003;241.1445313;448.0264587;554.6193848;437.2859619
1869;482.3612671;305.2154846;540.6861572;555.7047119;361.0035095;456.9466248;429.8126831;333.2234497;484.021637;572.0335083;452.1009033
1870;529.9203491;357.6507568;520.9614868;532.8284302;379.5621338;560.1965332;421.7603455;360.1928711;425.775116;609.5428467;469.8390869
1871;549.2103271;255.5805817;568.8457031;582.1679688;409.8235779;585.9755859;489.2793579;308.1507874;420.2850037;567.1084595;473.6427353
1872;479.2316284;342.2471619;421.1975403;497.0753784;303.9413757;463.2953186;497.328064;228.3167877;446.4867249;513.3048706;419.2424851
1873;516.4345703;389.2167664;439.1450806;551.0827026;344.3938904;474.240509;440.7648621;300.0618896;431.1200562;538.2123413;442.4672669
1874;506.5048828;377.5258789;448.9766541;554.8791504;328.3129883;507.8522034;517.9625854;293.1534424;370.286377;544.6560059;445.0110169
1875;513.1412964;449.8331909;441.1339722;539.3692017;275.9727173;473.6177063;298.9390259;331.055603;375.7559204;548.5025635;424.7321198
1876;569.3046875;355.0467834;501.6422729;529.0349121;320.3523254;558.2601318;410.2914429;351.6011353;430.57724;550.597229;457.670816
1877;531.0158691;270.4559326;522.6965332;505.2073669;339.9305115;602.6221924;374.0006714;354.1987915;428.1687317;598.9263916;452.7222992
1878;566.0994263;350.9709167;532.9411621;554.7354736;378.3193054;508.0898438;399.7348328;380.8876038;436.6867676;640.4281006;474.8893433
1879;474.8959656;416.1821899;506.2881775;548.5272827;345.3434143;492.0159912;412.5951233;351.9549255;412.3524475;567.9385986;452.8094116
1880;476.2884216;364.1965942;488.2347412;528.7038574;383.936615;540.0553589;453.3719788;371.5654297;427.4129944;587.1519165;462.0917908
1881;410.6698914;298.3444519;457.4936523;483.9665527;375.6932373;468.684967;466.50177;362.6486816;436.2219849;552.2284546;431.2453644
1882;374.8945618;363.7284241;443.0925598;374.3516541;342.0050354;452.37854;303.4316711;331.9650574;431.7484741;596.4621582;401.4058136
1883;413.5445557;327.6630859;529.9906616;569.1286621;387.3442078;544.506958;382.704895;369.8367004;434.0684509;603.810791;456.2598968
1884;432.5018921;368.8717651;547.8340454;623.0246582;425.4624023;539.2723389;403.7692261;389.1397705;434.3979797;654.6987915;481.897287
1885;544.7759399;455.8714294;559.5539551;596.2560425;389.3693848;522.4859009;299.1191406;451.0825195;387.9930115;668.3301392;487.4837463
1886;490.4251709;446.1839905;449.946228;513.6248169;376.9602356;469.0838623;368.0752563;385.8987122;428.7642212;597.6739502;452.6636444
1887;396.460907;361.3894958;473.8895264;506.7970276;470.2410889;442.8028564;418.9567261;357.8851318;452.198761;482.4926147;436.3114136
1888;449.0213928;364.8565369;526.1395874;484.885437;465.2952881;467.021698;411.0766296;316.9330139;411.5499878;533.3468018;443.0126373
1889;460.7364807;290.4433594;562.1074219;552.5134888;436.6130981;550.1951294;206.914978;403.0541382;388.1350708;580.4100342;443.11232
1890;415.8032227;305.0889587;571.5880737;505.9658508;494.4671936;484.5679016;314.3618164;462.1473694;343.0141907;503.6843567;440.0688934
1891;410.2599182;350.5107117;597.5986328;409.5056458;508.3804932;514.5762939;290.7563171;415.704834;317.9006958;592.4176636;440.7611206
1892;326.2310486;333.9883118;499.8653564;390.8138123;428.5621643;416.2895813;348.2988281;355.5765381;435.276062;557.4248657;409.2326569
1893;387.0949097;396.6376038;496.1447754;419.977417;465.6517334;467.197998;488.2534485;414.3700562;404.3009033;544.7831421;448.4411987
1894;361.387207;358.0121765;472.6586914;378.4438477;451.2995605;457.1988525;478.8536377;312.0990601;330.9614258;484.726532;408.5640991
1895;344.590271;389.2380371;565.18927;427.4218445;476.59729;467.4272156;383.3866272;377.8830566;318.7140503;504.6077881;425.505545
1896;331.6038513;341.1389771;564.1246338;462.2153015;417.7198181;498.7505798;292.8091736;435.5482788;437.5620728;568.2037964;434.9676483
1897;355.6526184;389.4545898;541.5980225;439.3792419;471.5391235;465.3245239;323.684845;363.9203186;364.6427917;550.9955444;426.619162
1898;344.5371399;322.4545288;620.75177;467.6177368;493.1178894;542.0808105;412.1792297;349.2506409;332.7306213;641.5750732;452.6295441
1899;422.3482056;363.7596436;623.0532227;504.0699158;486.0609131;529.918457;408.4785767;478.8913879;438.5118713;616.6452637;487.1737457
1900;277.5393372;335.4101563;543.2579346;491.5545654;477.6993103;469.3540344;307.4042664;477.8093567;363.1043396;516.6209106;425.9754212
1901;412.3174133;350.8742065;519.4698486;454.8471985;394.329895;481.3821716;376.7305908;425.806427;411.9413757;435.4608459;426.3159973
1902;396.2339478;378.3515625;617.5275269;616.9030151;426.1569824;485.321991;348.3549194;481.3460693;452.3582153;507.5738831;471.0128113
1903;326.5388184;368.4850769;538.0719604;549.2012329;406.2472229;437.2592468;435.7063599;445.8988037;351.809845;500.3729248;435.9591492
1904;392.5690613;401.3208923;499.3122864;643.8322144;468.0046082;494.3965454;374.6886292;420.0689087;429.8125;590.7137451;471.4719391
1905;422.0523682;422.4640808;513.8222046;639.5123291;460.1513672;514.8095703;433.9489136;487.0176086;436.6709595;524.4871216;485.4936524
1906;424.8305359;345.5136414;448.8213501;616.6633301;403.0370178;471.4016418;429.1985474;355.4065857;423.0923157;553.2546997;447.1219666
