year,RAKHA_03_,RAKHA_06_,RAKHA_09_,RAKHA_12_,RAKHA_14_,RAKHA_15_,RAKHA_16_,RAKHA_17_,RAKHA_19_,RAKHA_20_
1925,1.3001129512410614,0.6598511054274212,0,1.2101594568592873,1.3577414205256417,1.220280470874144,0.778834105652848,1.6497435505742573,0.6510608829114375,0.5734001892927125
1926,1.5396356145628687,1.163816220428103,0,1.6301508877446196,1.8360522238081245,1.4530185674758798,1.732724615014675,3.216866656098631,1.383776265965409,0.9299513703937379
1927,0.9239888786086112,0.6948580447108696,0,1.074800828841589,0.9159367552906446,0.7481154469475939,0.5907916705023979,1.7020742366307786,0.6369968218141793,0.5341393135756505
1928,1.9165945531438808,1.3278728843640835,0,1.503500838352906,1.7931568850054447,1.8441165749554784,2.231385260772214,2.7302299919973336,1.5428208014007794,0.8615722112041766
1929,2.281380188881272,1.1107077555032276,0,1.217373916029743,1.2995815431442423,2.0165405212438827,1.465109599054614,1.601398655321134,1.2803641632224583,1.0527473648356818
1930,1.801287091704495,1.0947972184407462,0,1.9027663490270186,1.5614341408390828,2.4323929181096275,1.8539821986616545,2.01325105891425,1.4395022926450878,1.0855341618583765
1931,0.7972016793383432,0.7966791207552717,0,0.5053673877657445,0.5727642516678486,0.362538925948229,0.5309702726514303,1.0598795154958935,0.601983593877307,0.47742949126059386
1932,1.112594658130078,1.0394299243135237,0,1.6774029585025687,1.4384028792703845,1.6184794152433994,1.2863536123248451,1.8506934070702954,1.1660019042605256,0.5912442952546826
1933,2.3102827466670135,1.0890356207398355,0,1.837043555161813,1.0742160870287876,1.4722545820845028,1.4228946010100287,2.131943814850274,1.2913574987371845,1.1346612557329365
1934,1.6908901522926243,1.06594337711266,0,1.8773836579321,1.2513652693085788,0.6632166247140816,1.3882234087476775,2.2790131004420573,1.2584985639834372,0.7371479300754515
1935,1.9022272759695653,0.9649856684958564,0,1.3079400466266549,1.3073205038912334,1.1408342875811854,1.6005061402240273,3.0961185799575475,1.8633234995505745,0.7915155530242544
1936,2.2416774141099296,1.270585191790019,0,1.2400506714699873,2.7216410061903673,3.6489427496693025,1.9237235704921574,4.0064534953767605,2.222822898319194,0.9058736350659871
1937,1.6757591600311628,1.1562789412057697,0,1.1577380266382988,1.5017951802707046,1.1870091785467025,1.7532134940872766,3.4466667645027655,1.5034905800051064,0.8275626738025466
1938,1.0402443713851568,1.2080821355681763,0,1.5308938148984623,2.0755842941746607,1.4485908987330873,1.8877431803835947,3.3679709651888317,1.3200529607381384,0.732613947285472
1939,2.0144354349426834,1.3988235760760546,0,1.6954184864291761,1.6589724516487507,2.6591225560354275,2.3635693901602792,3.6859926757317396,2.387001357654924,1.3525195965351742
1940,1.7250296903382463,1.462996313754715,0,1.8911052295779882,1.4937104976603308,1.81143892257775,2.274721969021954,3.4921706127460226,2.2916765573055926,1.1012149557569728
1941,2.7999780926914326,1.7700252329305783,0.8255331848112348,1.5443085409227137,2.138607233950964,2.363756005694384,2.6772328181087772,1.3771940742098394,6.3351200262783465,2.4862261443900024
1942,1.56139019779026,1.2263213354547986,0.8329668094001192,1.546681487831151,1.2198718902612455,1.5081129231434716,2.4492371280078657,4.171323825686088,5.911260582877659,1.0616677929554328
1943,2.782573447365465,1.3806312046757228,0.939231459244553,1.7534401881520978,1.5409020125668604,1.975757411154163,2.063693546131063,4.403576866321771,3.787479721212307,1.5445489000528312
1944,2.025487402113356,1.12714618409791,0.42421673271658733,1.4164426201108427,1.308176285533051,1.3199194580448648,1.296481971607875,3.018842840661577,1.7198040564981056,1.0393181131734508
1945,2.4702778436776214,1.6580360893224082,0.8381530839531877,2.034540603445322,1.751897939530295,2.563015237890582,2.225886360286893,4.236788410829945,1.899838386336711,1.36348679647854
1946,1.6858436154919758,1.2463949669344032,0.7504769603173145,1.8203338001336817,1.6160178851392004,2.1688123920669256,1.64859403003517,2.441877588581761,2.0719281073386213,1.0297142141225635
1947,0.5458774650337404,0.38478211391296213,0.0637108935488726,1.3074417225904682,0.23044297243467327,0.5226078210415892,0.7505103762741498,0.6590205538573599,0.7408822501223113,0.2649781975005112
